"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050808","synapse organization","92/998","496/28943",1.1091383360253e-40,5.74755485728309e-37,4.1201570398245e-37,"Apoe/Cacna1a/Arc/Adgrb3/Kalrn/Malat1/Etv5/Gpm6a/Dgkz/Cttnbp2/Unc13a/Homer1/Grm5/Kif1a/Synpo/Npas4/Ube3a/Bdnf/Ppfibp1/Lrfn5/Atp2b2/Mycbp2/Dlgap3/Sorbs2/Ngef/C1qc/Lgi2/Rims4/Bsn/Ctnnd2/Cntn5/Tuba1a/Mapk14/Mapt/Cabp1/Numb/Chchd10/Pdzrn3/C1qa/Dbn1/Arhgef7/Clstn3/Srcin1/Mef2c/Sncb/Adgrl1/Cacnb2/Grin1/Syndig1/Nlgn1/Camk1/Farp1/Rph3a/Epha5/Drp2/Adgrb1/Tnr/Palm/C1qb/Arhgap39/Arhgap44/Zmynd8/Lrrtm4/Igfn1/Ppfia3/Slitrk5/Nfasc/Col4a1/Ntrk2/Zfp365/Septin11/Ntng2/Ppp1r9a/Sptbn2/Rab3a/Dab2ip/Sdk2/Ptprs/Ncan/Xlr3b/Cask/Mdga2/Clstn1/Cntnap2/Rapgef4/Abl2/Asic2/Tubb5/Ntng1/Nrxn2/Gpc6/Magi2",92
"GO:0016358","dendrite development","63/998","315/28943",4.77000331115841e-30,1.23590785792115e-26,8.85965351846213e-27,"Hecw2/Apoe/Cacna1a/Arc/Adgrb3/Kalrn/Asap1/Pacsin1/Kif1a/Cit/Map6/Cux1/Ube3a/Camk2a/Bdnf/Arid1b/Matn2/Ngef/Iqsec1/Ctnnd2/Numb/Mark1/Dbn1/Srcin1/Map1b/Mink1/Mef2c/Grin1/Nlgn1/Camk1/Fat3/Farp1/Epha5/Palm/Prkg1/Dcx/Arhgap44/Nedd4l/Zmynd8/Clip1/Slitrk5/Tnik/D130043K22Rik/Nsmf/Ntrk2/Phactr1/Zfp365/Ppp1r9a/Dab2ip/Hprt/Iqgap1/Ptprs/Dclk1/Xlr3b/Cask/Mapk6/Cntnap2/Rapgef4/Abl2/Rap2a/Slc12a5/Trpc6/Map1a",63
"GO:0002181","cytoplasmic translation","40/998","146/28943",5.70204446058367e-25,9.84933146491485e-22,7.06053154435079e-22,"Rplp1/Rpl21/Rps4x/Rps3a1/Rpl24/Rps27a/Rpl19/Rps24/Fau/Rpl23/Rps8/Rpl26/Rpl9/Rpl8/Rps2/Rps3/Rps14/Rps23/Rps11/Rpl28/Rpl13/Rps15a/Rpl11/Hnrnpu/Rpl18a/Rplp2/Rps10/Rpl30/Rpl3/Rbm24/Rpl7/Rpl14/Rps7/Rpl36a/Rps9/Rpl34/Rpl23a/Rpl32/Rps26/Rps25",40
"GO:0007409","axonogenesis","71/998","493/28943",1.34417360890695e-24,1.74137691033895e-21,1.24831280679806e-21,"Slit2/Apoe/Cacna1a/Kalrn/Nr4a3/Stmn1/Dip2b/Map6/Sema6d/Ifrd1/Bdnf/Nrn1/Mycbp2/Nr4a2/Apbb2/Matn2/Lmtk2/Rpl24/Cck/Kif5c/Ext1/Cntn5/Mapt/Numb/Nin/Atp8a2/Dbn1/Hsp90ab1/Col25a1/Skil/Map1b/Pip5k1c/Ece1/Mef2c/Golga4/Grin1/Macf1/Trio/Pitpna/Plppr4/Epha5/Dst/Tnr/Dcx/Stxbp1/Bmpr1b/Adarb1/Slitrk5/Hsp90aa1/Nfasc/D130043K22Rik/Ntrk2/Sptbn4/Ntng2/Rab3a/Sema5b/Atp5g1/Mt3/Ptprs/Dclk1/Ablim1/Epha10/Cdh4/Enah/Cntnap2/Aplp2/Crmp1/Ntng1/Unc5d/Ptpn11/Map1a",71
"GO:0007611","learning or memory","56/998","321/28943",9.62355073196455e-24,9.97384797860806e-21,7.14979169117956e-21,"Apoe/Arc/Plcb1/Adgrb3/Kalrn/Itga8/Hmgcr/Egr1/Pde8b/Btg2/Grm5/Prkar1b/Gria1/Synpo/Dgki/Npas4/Ube3a/Bdnf/Nr4a2/Pak6/Brinp1/Prkn/Cck/Atp1a3/Csmd1/Ctnnd2/Slc17a7/Mapt/Nptx2/Prkcz/Camk4/Mef2c/Camk2n1/Grin1/Adcy8/Ldlr/Adrb1/Tnr/Kmt2a/Ntrk2/Vip/Jun/Crhr1/Trpm4/Atxn1/Cntnap2/Abl2/Pak5/Meis2/Pde5a/Ttbk1/Slc12a5/Nrxn2/Abcc8/Thra/Map1a",56
"GO:0034329","cell junction assembly","65/998","445/28943",5.99211682310653e-23,5.17519156288968e-20,3.70985618749876e-20,"Cacna1a/Adgrb3/Gpm6a/Smad7/Actn4/Npas4/Bdnf/Lrfn5/Mycbp2/Dmtn/Lgi2/Bsn/Itgav/Ctnnd2/Cntn5/Pip5k1a/Mapt/Cdh6/Numb/Ctnna1/Actn1/Clstn3/Actg1/Ptprj/Mef2c/Adgrl1/Grin1/Syndig1/Macf1/Nlgn1/Ptprk/Farp1/Plec/Dst/Vmp1/Rcc2/Adgrb1/Fmn1/Nedd4l/Arhgap6/Lrrtm4/Igfn1/Slitrk5/Nfasc/Fermt2/Ntrk2/Ntng2/Ppp1r9a/Sptbn2/Cdh7/Dusp3/Sdk2/Iqgap1/Ptprs/Xlr3b/Mdga2/Clstn1/Cntnap2/Asic2/Epb41l5/Nrxn2/Ptpn11/Gpc6/Magi2/Fscn1",65
"GO:0050890","cognition","58/998","358/28943",7.11035037793178e-23,5.26369080834893e-20,3.77329721559718e-20,"Apoe/Arc/Plcb1/Adgrb3/Kalrn/Itga8/Hmgcr/Egr1/Pde8b/Btg2/Grm5/Prkar1b/Gria1/Synpo/Dgki/Npas4/Ube3a/Bdnf/Nr4a2/Pak6/Brinp1/Prkn/Cck/Dop1b/Atp1a3/Csmd1/Ctnnd2/Slc17a7/Mapt/Nptx2/Prkcz/Camk4/Mef2c/Camk2n1/Grin1/Adcy8/Ldlr/Adrb1/Tnr/Kmt2a/Ntrk2/Vip/Jun/Crhr1/Trpm4/Atxn1/Cntnap2/Abl2/Pak5/Meis2/Pde5a/Ttbk1/Slc12a5/Nrxn2/Abcc8/Jakmip1/Thra/Map1a",58
"GO:0050803","regulation of synapse structure or activity","50/998","272/28943",2.2642745670273e-22,1.46668385079194e-19,1.05139801934728e-19,"Apoe/Arc/Adgrb3/Kalrn/Malat1/Etv5/Gpm6a/Cttnbp2/Homer1/Kif1a/Ube3a/Bdnf/Lrfn5/Mycbp2/Ngef/Rims4/Tuba1a/Slc17a7/Mapk14/Dbn1/Clstn3/Srcin1/Mef2c/Adgrl1/Grin1/Syndig1/Nlgn1/Camk1/Farp1/Adgrb1/Arhgap44/Zmynd8/Lrrtm4/Slitrk5/Ntrk2/Septin11/Ntng2/Ppp1r9a/Dab2ip/Ptprs/Ncan/Xlr3b/Cask/Mdga2/Clstn1/Rapgef4/Asic2/Tubb5/Gpc6/Magi2",50
"GO:0050807","regulation of synapse organization","49/998","264/28943",3.86450847359023e-22,2.22509810112717e-19,1.59507022260818e-19,"Apoe/Arc/Adgrb3/Kalrn/Malat1/Etv5/Gpm6a/Cttnbp2/Homer1/Kif1a/Ube3a/Bdnf/Lrfn5/Mycbp2/Ngef/Rims4/Tuba1a/Mapk14/Dbn1/Clstn3/Srcin1/Mef2c/Adgrl1/Grin1/Syndig1/Nlgn1/Camk1/Farp1/Adgrb1/Arhgap44/Zmynd8/Lrrtm4/Slitrk5/Ntrk2/Septin11/Ntng2/Ppp1r9a/Dab2ip/Ptprs/Ncan/Xlr3b/Cask/Mdga2/Clstn1/Rapgef4/Asic2/Tubb5/Gpc6/Magi2",49
"GO:0042391","regulation of membrane potential","61/998","469/28943",4.944496776057e-19,2.56223822935274e-16,1.83675043396896e-16,"Kcnma1/Cacna1a/Cx3cl1/Smad7/Prkar1b/Gria1/Kcnh1/Dgki/Npas4/Gabrb1/Ryr2/Bdnf/Scn1a/Prkn/Cck/Atp1a3/Rims4/Slc17a7/Mapt/Kcnh3/Chchd10/Prkce/Ank2/Prkcz/Dbn1/Dmd/Mef2c/Cacnb2/Rgs7/Fgf12/Grin1/Nlgn1/Slc4a4/Kcnd2/Adrb1/Stx1a/Scn8a/Nedd4l/Zmynd8/Grik2/Ubb/Ntrk2/Atp1a1/Kcnmb4/Ppp1r9a/Jun/Ndufc2/Kcnh7/Atp5g1/Kcnk12/Ptpn3/Grik3/Trpm4/Grik5/Atxn1/Cntnap2/Rapgef4/Asic2/Cacna1i/Gclc/Gabrd",61
"GO:0048813","dendrite morphogenesis","38/998","186/28943",5.91068016613191e-19,2.78446769280869e-16,1.99605648863919e-16,"Hecw2/Cacna1a/Arc/Adgrb3/Kalrn/Kif1a/Cit/Map6/Cux1/Ube3a/Camk2a/Ngef/Ctnnd2/Numb/Dbn1/Srcin1/Mink1/Grin1/Nlgn1/Farp1/Epha5/Dcx/Arhgap44/Nedd4l/Slitrk5/Tnik/Nsmf/Phactr1/Zfp365/Ppp1r9a/Hprt/Dclk1/Xlr3b/Cask/Cntnap2/Abl2/Rap2a/Trpc6",38
"GO:0007416","synapse assembly","37/998","194/28943",1.89544205123794e-17,8.1851505912625e-15,5.86755701650762e-15,"Cacna1a/Adgrb3/Gpm6a/Npas4/Bdnf/Lrfn5/Mycbp2/Lgi2/Bsn/Cntn5/Mapt/Numb/Clstn3/Mef2c/Adgrl1/Grin1/Syndig1/Nlgn1/Farp1/Adgrb1/Lrrtm4/Igfn1/Slitrk5/Ntrk2/Ntng2/Ppp1r9a/Sptbn2/Sdk2/Ptprs/Xlr3b/Mdga2/Clstn1/Cntnap2/Asic2/Nrxn2/Gpc6/Magi2",37
"GO:0060560","developmental growth involved in morphogenesis","44/998","278/28943",2.89511297867424e-17,1.15403657349922e-14,8.2727560337987e-15,"Slit2/Apoe/Fgf1/Unc13a/Dip2b/Sema6d/Ifrd1/Bdnf/Nrn1/Pak6/Rnf157/Prkn/Syt1/Ext1/Smurf1/Mapt/Nin/Prkcz/Dbn1/Hsp90ab1/Map1b/Syt17/Golga4/Macf1/Cpne9/Tnr/Esr1/Dcx/Fmn1/Nedd4l/Hsp90aa1/D130043K22Rik/Sema5b/Atp5g1/Mt3/Iqgap1/Ptprs/Dclk1/Cdh4/Slc12a2/Spry2/Cpne6/Epb41l5/Kdm5b",44
"GO:0099173","postsynapse organization","37/998","208/28943",2.04903740945134e-16,7.58436561126917e-14,5.4368819683863e-14,"Apoe/Arc/Kalrn/Etv5/Dgkz/Homer1/Kif1a/Ube3a/Sorbs2/Ngef/Ctnnd2/Numb/Dbn1/Arhgef7/Srcin1/Grin1/Nlgn1/Farp1/Rph3a/Epha5/Adgrb1/Arhgap39/Arhgap44/Zmynd8/Lrrtm4/Zfp365/Ntng2/Ppp1r9a/Sptbn2/Ptprs/Xlr3b/Cask/Cntnap2/Rapgef4/Abl2/Nrxn2/Magi2",37
"GO:0048588","developmental cell growth","42/998","273/28943",4.34386609267141e-16,1.50066093948155e-13,1.07575462744122e-13,"Slit2/Apoe/Unc13a/Smad7/Dip2b/Sema6d/Slc25a4/Ifrd1/Bdnf/Nrn1/Pak6/Rnf157/Prkn/Sorbs2/Syt1/Ext1/Smurf1/Mapt/Nin/Prkcz/Dbn1/Hsp90ab1/Map1b/Syt17/Golga4/Macf1/Cpne9/Adrb1/Tnr/Dcx/Nedd4l/Hsp90aa1/D130043K22Rik/Sema5b/Atp5g1/Mt3/Iqgap1/Ptprs/Dclk1/Cdh4/Cpne6/Ddx39b",42
"GO:1901888","regulation of cell junction assembly","37/998","222/28943",1.80742446228314e-15,5.85379597721953e-13,4.19631639960343e-13,"Adgrb3/Bdnf/Lrfn5/Mycbp2/Dmtn/Clstn3/Actg1/Ptprj/Mef2c/Adgrl1/Grin1/Syndig1/Macf1/Nlgn1/Farp1/Rcc2/Adgrb1/Fmn1/Nedd4l/Arhgap6/Lrrtm4/Slitrk5/Fermt2/Ntrk2/Ntng2/Ppp1r9a/Dusp3/Iqgap1/Ptprs/Xlr3b/Mdga2/Clstn1/Cntnap2/Asic2/Epb41l5/Ptpn11/Gpc6",37
"GO:1990138","neuron projection extension","35/998","200/28943",2.24211018642971e-15,6.83447940357573e-13,4.89932312564114e-13,"Slit2/Apoe/Unc13a/Dip2b/Sema6d/Ifrd1/Bdnf/Nrn1/Pak6/Rnf157/Prkn/Syt1/Smurf1/Mapt/Prkcz/Dbn1/Hsp90ab1/Map1b/Syt17/Golga4/Macf1/Cpne9/Tnr/Dcx/Nedd4l/Hsp90aa1/D130043K22Rik/Sema5b/Atp5g1/Mt3/Iqgap1/Ptprs/Dclk1/Cdh4/Cpne6",35
"GO:0007626","locomotory behavior","40/998","266/28943",4.81616778855502e-15,1.25975467195354e-12,9.03060033176388e-13,"Kcnma1/Apoe/Cacna1a/Kalrn/Etv5/Egr1/Lsamp/Grm5/Zdhhc8/Bc1/Ube3a/Grm1/Scn1a/Atp2b2/Nr4a2/Pak6/Prkn/Atp1a3/Mapt/Prkce/Dbn1/Fgf12/Grin1/Adcy8/Kcnd2/Tnr/Scn8a/Tmod1/Sptbn4/Npas2/Nav2/Crhr1/Hprt/Lepr/Atxn1/Cntnap2/Ncoa2/Abl2/Aplp2/Pak5",40
"GO:0007613","memory","31/998","160/28943",4.83500404122585e-15,1.25975467195354e-12,9.03060033176388e-13,"Apoe/Arc/Plcb1/Kalrn/Itga8/Egr1/Gria1/Npas4/Bdnf/Pak6/Brinp1/Cck/Atp1a3/Csmd1/Slc17a7/Mapt/Prkcz/Camk4/Camk2n1/Grin1/Adcy8/Ldlr/Adrb1/Ntrk2/Crhr1/Trpm4/Atxn1/Pak5/Pde5a/Abcc8/Map1a",31
"GO:0060996","dendritic spine development","28/998","129/28943",4.86204041664816e-15,1.25975467195354e-12,9.03060033176388e-13,"Apoe/Arc/Kalrn/Asap1/Kif1a/Ube3a/Camk2a/Arid1b/Ngef/Iqsec1/Ctnnd2/Dbn1/Srcin1/Mef2c/Nlgn1/Camk1/Epha5/Palm/Arhgap44/Zmynd8/Zfp365/Ppp1r9a/Ptprs/Xlr3b/Cask/Mapk6/Cntnap2/Slc12a5",28
"GO:0007612","learning","33/998","187/28943",1.09894383686521e-14,2.71177474411214e-12,1.94394626581319e-12,"Adgrb3/Kalrn/Hmgcr/Pde8b/Btg2/Grm5/Synpo/Dgki/Npas4/Ube3a/Bdnf/Pak6/Prkn/Cck/Atp1a3/Csmd1/Ctnnd2/Nptx2/Grin1/Tnr/Kmt2a/Ntrk2/Jun/Crhr1/Atxn1/Cntnap2/Abl2/Pak5/Meis2/Slc12a5/Nrxn2/Abcc8/Map1a",33
"GO:0035418","protein localization to synapse","23/998","89/28943",2.43329317817423e-14,5.73151147695403e-12,4.10865628027601e-12,"Kalrn/Homer1/Tamalin/Camk2a/Dlg2/Kif5c/Bsn/Mapt/Nptx2/Prkcz/Clstn3/Grin1/Nlgn1/Stx3/Arhgap44/Tnik/Clstn1/Rapgef4/Asic2/Nrxn2/Gpc6/Magi2/Map1a",23
"GO:1902414","protein localization to cell junction","26/998","123/28943",8.91560464845831e-14,2.00872449079613e-11,1.43996195901187e-11,"Kalrn/Homer1/Actn4/Tamalin/Camk2a/Dlg2/Kif5c/Bsn/Mapt/Nptx2/Prkcz/Clstn3/Actg1/Grin1/Nlgn1/Stx3/Arhgap44/Tnik/Fermt2/Clstn1/Rapgef4/Asic2/Nrxn2/Gpc6/Magi2/Map1a",26
"GO:0106027","neuron projection organization","24/998","111/28943",4.7246198150809e-13,1.02012416173955e-10,7.31279970500899e-11,"Apoe/Arc/Kalrn/Homer1/Kif1a/Ube3a/Atp1a3/Ngef/Ctnnd2/Dbn1/Srcin1/Grin1/Nlgn1/Rph3a/Epha5/Arhgap44/Zmynd8/Zfp365/Ppp1r9a/Xlr3b/Cask/Cntnap2/Abl2/Map1a",24
"GO:0099003","vesicle-mediated transport in synapse","36/998","260/28943",1.39888317449091e-12,2.89960504408475e-10,2.07859314643301e-10,"Cacna1a/Arc/Cadps2/Pacsin1/Unc13a/Prkar1b/Kcnh1/Dgki/Camk2a/Nrn1/Syt7/Iqsec1/Syt1/Rims4/Bsn/Slc17a7/Numb/Prkce/Actg1/Pip5k1c/Sncb/Syndig1/Nlgn1/Stx1a/Stx3/Stxbp1/Ppfia3/Caly/Sptbn2/Rab3a/Cask/Grik5/Clstn1/Rapgef4/Git2/Magi2",36
"GO:0035249","synaptic transmission, glutamatergic","24/998","117/28943",1.59238528202894e-12,3.17374635825923e-10,2.27511241306888e-10,"Cacna1a/Dgkz/Unc13a/Homer1/Grm5/Dgki/Grm1/Prkn/Syt1/Ext1/Slc17a7/Clstn3/Mef2c/Grin1/Nlgn1/Plppr4/Tnr/Stxbp1/Grik2/Gria2/Ntrk2/Grm3/Grik3/Grik5",24
"GO:0007269","neurotransmitter secretion","30/998","186/28943",1.99592161534823e-12,3.6938806466909e-10,2.64797269946011e-10,"Cacna1a/Cadps2/Nr4a1/Unc13a/Kcnh1/Dgki/Camk2a/Nrn1/Syt7/Prkn/Syt1/Rims4/Ptprn2/Prkce/Mef2c/Nlgn1/Rph3a/Stx1a/Stx3/Stxbp1/Ica1/Ppfia3/Ntrk2/Ppp1r9a/Sptbn2/Rab3a/Cask/Grik5/Git2/Nrxn2",30
"GO:0099643","signal release from synapse","30/998","186/28943",1.99592161534823e-12,3.6938806466909e-10,2.64797269946011e-10,"Cacna1a/Cadps2/Nr4a1/Unc13a/Kcnh1/Dgki/Camk2a/Nrn1/Syt7/Prkn/Syt1/Rims4/Ptprn2/Prkce/Mef2c/Nlgn1/Rph3a/Stx1a/Stx3/Stxbp1/Ica1/Ppfia3/Ntrk2/Ppp1r9a/Sptbn2/Rab3a/Cask/Grik5/Git2/Nrxn2",30
"GO:0031346","positive regulation of cell projection organization","48/998","441/28943",2.52347594622111e-12,4.50919046666131e-10,3.23243071296345e-10,"Apoe/Kalrn/Gpm6a/Pacsin1/Cx3cl1/Map6/Cux1/Bdnf/Mapt/Numb/Nin/Atp8a2/Dbn1/Skil/Map1b/Dmd/Golga4/Grin1/Macf1/Nlgn1/Camk1/Eef1a1/Hdac4/Palm/Fut9/Dcx/Nme1/Rit2/Zmynd8/Clip1/Tnik/Stmn2/Ntrk2/Kctd17/Pla2g3/Ppp1r9a/Dab2ip/Atp5g1/Mark4/Iqgap1/Xlr3b/Cask/Cdh4/Akirin1/Abl2/Snx3/Magi2/Fscn1",48
"GO:0043087","regulation of GTPase activity","42/998","351/28943",2.76041404194747e-12,4.76815518845726e-10,3.41807058036232e-10,"Kalrn/Asap1/Cx3cl1/Stmn1/Dgki/Ngef/Iqsec1/Mapre2/Pip5k1a/Ptprn2/Arhgef7/Rgs7/Rasgef1b/Epha5/Rapgef5/Rcc2/Adrb1/Rgs6/Prkg1/Arhgap44/Arhgap42/Arhgap6/Stmn3/Fermt2/Ntrk2/Rundc1/Arhgap29/Dab2ip/Rab3gap2/Iqgap1/Tbc1d30/Sgsm2/Snx18/Spry2/Rapgef4/Rasa2/Arap2/Agap2/Sgsm1/Abr/Rasgef1c/Sipa1l2",42
"GO:0006836","neurotransmitter transport","34/998","243/28943",4.34650513749543e-12,7.26567407177462e-10,5.20842669956583e-10,"Cacna1a/Cadps2/Nr4a1/Unc13a/Kcnh1/Dgki/Camk2a/Nrn1/Syt7/Prkn/Syt1/Rims4/Slc17a7/Ptprn2/Prkce/Mef2c/Slc6a6/Nlgn1/Syngr3/Rph3a/Stx1a/Stx3/Stxbp1/Ica1/Ppfia3/Ntrk2/Ppp1r9a/Sptbn2/Rab3a/Cask/Grik5/Slc6a17/Git2/Nrxn2",34
"GO:0097061","dendritic spine organization","22/998","102/28943",4.65734020142386e-12,7.37871918596545e-10,5.28946352907272e-10,"Apoe/Arc/Kalrn/Homer1/Kif1a/Ube3a/Ngef/Ctnnd2/Dbn1/Srcin1/Grin1/Nlgn1/Rph3a/Epha5/Arhgap44/Zmynd8/Zfp365/Ppp1r9a/Xlr3b/Cask/Cntnap2/Abl2",22
"GO:0048638","regulation of developmental growth","45/998","402/28943",4.69891418635392e-12,7.37871918596545e-10,5.28946352907272e-10,"Slit2/Apoe/Plcb1/Unc13a/Smad7/Dip2b/Sema6d/Slc25a4/Ifrd1/Bdnf/Mycbp2/Rnf157/Prkn/Syt1/Smurf1/Mapk14/Mapt/Atp8a2/Dbn1/Map1b/Syt17/Mef2c/Golga4/Macf1/Cpne9/Rai1/Dusp6/Adrb1/Tnr/Ccnb1/Mbd5/Dcx/Nedd4l/D130043K22Rik/Vgll4/Sptbn4/Stk3/Sema5b/Atp5g1/Mt3/Ptprs/Cdh4/Cpne6/Ddx39b/Tnks2",45
"GO:0043254","regulation of protein-containing complex assembly","46/998","425/28943",8.79454312297887e-12,1.34039183715519e-09,9.60865098482738e-10,"Nav3/Slit2/Apoe/Lmo4/Asap1/Unc13a/Sptan1/Pmepa1/Stmn1/Tmsb4x/Skap1/Cck/Dmtn/Mapt/Prkce/Prkcz/Dbn1/Arhgef7/Pde4dip/Sptbn1/Map1b/Rps3/H3f3b/Psmc6/Stx1a/Esr1/Fmn1/Stxbp1/Clip1/Ica1/Vdac2/Hsp90aa1/Stmn2/Fermt2/Tmod1/Caly/Arhgef2/Ppp1r9a/Rab3a/Dab2ip/Preb/Camsap1/Ttbk1/Ptpn11/Thra/Fscn1",46
"GO:1902473","regulation of protein localization to synapse","12/998","26/28943",1.63657821444596e-11,2.42307094493113e-09,1.73698782519693e-09,"Kalrn/Tamalin/Camk2a/Mapt/Prkcz/Clstn3/Nlgn1/Arhgap44/Tnik/Rapgef4/Gpc6/Magi2",12
"GO:0001505","regulation of neurotransmitter levels","34/998","255/28943",1.69900253282005e-11,2.44561975696486e-09,1.75315202874911e-09,"Cacna1a/Cadps2/Nr4a1/Unc13a/Kcnh1/Dgki/Camk2a/Nrn1/Syt7/Prkn/Syt1/Rims4/Slc17a7/Ptprn2/Prkce/Mef2c/Nlgn1/Syngr3/Rph3a/Stx1a/Stx3/Stxbp1/Ica1/Ppfia3/Ntrk2/Ppp1r9a/Sptbn2/Rab3a/Cask/Grik5/Pebp1/Git2/Nrxn2/Hnmt",34
"GO:0010563","negative regulation of phosphorus metabolic process","47/998","453/28943",2.29261276385149e-11,3.12639982691538e-09,2.24117186804208e-09,"Slit2/Apoe/Hmgcr/Ppia/Smad7/Prkar1b/Ptpn1/Spred1/Pmepa1/Prkn/Cry2/Zfyve28/Dmtn/Mapt/Prkcz/Srcin1/Midn/Dmd/Ptprj/Ogt/Camk2n1/Mapk8ip1/Spred2/Plec/Dusp6/Mas1/Hdac4/Hnrnpu/Pip4k2a/Ccnb1/Hspa4/Ppp1r16b/Adarb1/Hipk3/Ctdsp2/Dab2ip/Jun/Dusp3/Pip4k2c/Ppm1e/Iqgap1/Spry2/Atxn1/Dusp1/Gfra2/Pebp1/Ywhab",47
"GO:0045936","negative regulation of phosphate metabolic process","47/998","453/28943",2.29261276385149e-11,3.12639982691538e-09,2.24117186804208e-09,"Slit2/Apoe/Hmgcr/Ppia/Smad7/Prkar1b/Ptpn1/Spred1/Pmepa1/Prkn/Cry2/Zfyve28/Dmtn/Mapt/Prkcz/Srcin1/Midn/Dmd/Ptprj/Ogt/Camk2n1/Mapk8ip1/Spred2/Plec/Dusp6/Mas1/Hdac4/Hnrnpu/Pip4k2a/Ccnb1/Hspa4/Ppp1r16b/Adarb1/Hipk3/Ctdsp2/Dab2ip/Jun/Dusp3/Pip4k2c/Ppm1e/Iqgap1/Spry2/Atxn1/Dusp1/Gfra2/Pebp1/Ywhab",47
"GO:0051963","regulation of synapse assembly","23/998","122/28943",2.88051506285552e-11,3.82739206556854e-09,2.74368087903297e-09,"Adgrb3/Bdnf/Lrfn5/Mycbp2/Clstn3/Mef2c/Adgrl1/Grin1/Syndig1/Nlgn1/Farp1/Adgrb1/Lrrtm4/Slitrk5/Ntrk2/Ntng2/Ppp1r9a/Ptprs/Xlr3b/Mdga2/Clstn1/Asic2/Gpc6",23
"GO:0042326","negative regulation of phosphorylation","43/998","394/28943",3.21851068440873e-11,4.16958059165151e-09,2.98898005402063e-09,"Slit2/Apoe/Hmgcr/Ppia/Smad7/Prkar1b/Ptpn1/Spred1/Pmepa1/Prkn/Zfyve28/Dmtn/Mapt/Prkcz/Srcin1/Midn/Dmd/Ptprj/Ogt/Camk2n1/Mapk8ip1/Spred2/Plec/Dusp6/Mas1/Hdac4/Hnrnpu/Pip4k2a/Ccnb1/Hspa4/Adarb1/Hipk3/Ctdsp2/Dab2ip/Jun/Dusp3/Pip4k2c/Ppm1e/Spry2/Atxn1/Dusp1/Gfra2/Pebp1",43
"GO:0050767","regulation of neurogenesis","47/998","463/28943",4.86371215696535e-11,6.14725765790109e-09,4.40668554606694e-09,"Slit2/Apoe/Kalrn/Etv5/Cx3cl1/Grm5/Cit/Dip2b/Map6/Cux1/Sema6d/Ifrd1/Bdnf/Brinp1/Mapt/Numb/Arntl/Nin/Ctnna1/Dbn1/Skil/Map1b/Slc7a5/Golga4/Macf1/Ldlr/Sox8/Tnr/Dcx/Bhlhe40/Tnik/D130043K22Rik/Ntrk2/Zfp365/Arhgef2/Rnf10/Sema5b/Atp5g1/Mt3/Ptprs/Xlr3b/Lingo1/Cask/Cdh4/Atxn1/Trpc6/Abcc8",47
"GO:0050773","regulation of dendrite development","24/998","137/28943",5.41274473348236e-11,6.67829600212038e-09,4.78736244723289e-09,"Hecw2/Adgrb3/Kalrn/Pacsin1/Cit/Cux1/Numb/Mark1/Dbn1/Grin1/Fat3/Nedd4l/Clip1/Tnik/D130043K22Rik/Nsmf/Ntrk2/Dab2ip/Iqgap1/Xlr3b/Cask/Rapgef4/Rap2a/Trpc6",24
"GO:0006091","generation of precursor metabolites and energy","47/998","465/28943",5.63650308908388e-11,6.79264162968202e-09,4.86933155480466e-09,"Gapdh/Nr4a3/Ppp1r1a/Slc25a25/Bdnf/Stk40/Ndufa13/Coq10b/Chchd10/Aldoa/Zbtb20/Pfkp/Cox4i1/Ogt/Slc4a4/Ndufs7/Plec/Ndufa4/Oxct1/Chchd2/Adrb1/Hdac4/Ndufb9/Atp5h/Ccnb1/Uqcrfs1/Cox5b/Slc1a3/Ndufb11/Ndufa8/Ndufa7/Ndufc2/Cox7a2/Mt3/Uqcrb/Ndufb10/Phka2/Lepr/Pgam1/Gpd1/Ndufab1/Ndufb7/Uqcr11/Ndufa11/Atp5j/Ndufb3/Mdh2",47
"GO:0060078","regulation of postsynaptic membrane potential","22/998","117/28943",8.1582178456313e-11,9.60815565365032e-09,6.88764372661073e-09,"Cx3cl1/Prkar1b/Gria1/Dgki/Npas4/Bdnf/Prkn/Slc17a7/Prkcz/Dbn1/Mef2c/Rgs7/Grin1/Nlgn1/Adrb1/Stx1a/Zmynd8/Grik2/Ppp1r9a/Grik5/Atxn1/Cntnap2",22
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","20/998","96/28943",8.4676842120034e-11,9.75100879702259e-09,6.99004855769825e-09,"Arc/Kalrn/Pacsin1/Tamalin/Camk2a/Dlg2/Iqsec1/Numb/Nptx2/Prkcz/Pip5k1c/Stx3/Arhgap44/Tnik/Caly/Clstn1/Rapgef4/Flot2/Gpc6/Magi2",20
"GO:0006119","oxidative phosphorylation","24/998","140/28943",8.66364778687402e-11,9.75978757208287e-09,6.99634165672275e-09,"Bdnf/Ndufa13/Chchd10/Cox4i1/Ndufs7/Chchd2/Ndufb9/Atp5h/Ccnb1/Uqcrfs1/Cox5b/Ndufb11/Ndufa8/Ndufa7/Ndufc2/Cox7a2/Uqcrb/Ndufb10/Ndufab1/Ndufb7/Uqcr11/Ndufa11/Atp5j/Ndufb3",24
