"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",1.34338532349361e-12,-0.729773010165859,0.992,1,4.68398160742519e-08
"Mef2a",1.84751758818204e-05,1.24423780786096,0.445,0.103,0.644173957471432
"Ctnna2",2.8604649510957e-05,0.931317990503344,0.899,0.638,0.997358314498537
"Fam110b",0.000324310947059293,1.31915877806248,0.336,0.086,1
"Zfp354c",0.000346798766440272,-1.0624656763204,0.017,0.155,1
"Ctbp1",0.000766624896789897,-1.02761150725376,0.008,0.121,1
"Hipk2",0.000897090222673594,1.00510473872695,0.319,0.086,1
"Gabarapl2",0.000964040091906707,-0.833145393267945,0.076,0.259,1
"Cacng4",0.000984343094331939,1.01568319198123,0.168,0,1
"Nectin3",0.00101783346691774,-1.36245626085627,0.067,0.241,1
"Pkia",0.00107439823961637,1.06830939357615,0.328,0.103,1
"Tafa2",0.00116012244042346,-0.913303438482452,0.185,0.414,1
"Rps6ka5",0.00140741436643087,1.01010070693592,0.227,0.034,1
"Ap2a2",0.00152691562685238,1.02312985557705,0.193,0.017,1
"Atp2b1",0.00156286686478597,-0.6361522958411,0.429,0.672,1
"Brd4",0.0017968396728775,1.18308511301566,0.218,0.034,1
"Dpf2",0.00195422359539768,1.03001488927002,0.185,0.017,1
"Iqce",0.00222067107087515,-0.748868862849235,0.008,0.103,1
"Arih1",0.00227499569384171,0.800222795863389,0.353,0.121,1
"Ar",0.00229025953418444,-0.883511038274164,0.008,0.103,1
"Btg1",0.00230002126682134,0.977624508719976,0.244,0.052,1
"Arhgef9",0.0024943587683824,0.896410693613606,0.345,0.121,1
"Syt4",0.00256243784326437,-0.975654303066267,0.059,0.207,1
"Thoc2l",0.00277802122628231,1.06461875812848,0.235,0.052,1
"Mrps28",0.00291718870740331,-0.797128411656617,0.025,0.138,1
"Gars",0.0030385404196848,-1.02185007843248,0.076,0.224,1
"Ttc27",0.00312163747757964,-0.646845329017579,0.017,0.121,1
"Btbd3",0.00320573194212808,-0.857725448330416,0.017,0.121,1
"Gpr137c",0.00323814130509588,0.904469454984176,0.277,0.086,1
"Gdap1",0.00327942938292633,-0.711402343221922,0.059,0.207,1
"Sox11",0.00331690477159339,1.11121051485822,0.311,0.103,1
"Gnai2",0.00358833225281467,0.935837211189806,0.134,0,1
"Sema6a",0.00358833225281467,1.14224220032969,0.134,0,1
"Gabrb2",0.00386622163041715,1.12495838024107,0.252,0.069,1
"Smim13",0.00404075353569107,-1.10574394472571,0.059,0.19,1
"Prrc2c",0.00406159192463362,0.7407297144805,0.471,0.241,1
"mt-Rnr1",0.00421813497157837,-0.75862230981045,0.521,0.638,1
"Taok1",0.004237957108489,0.639749912521991,0.311,0.103,1
"Rnf130",0.00483295963987491,0.870102028316161,0.277,0.086,1
"Klf12",0.0050338233029645,0.586501828696977,0.731,0.448,1
"Vps13b",0.00542738301161877,0.58591447429695,0.345,0.121,1
"Prkca",0.00557478904934023,1.04569302679642,0.303,0.103,1
"Lin7a",0.0061651980382168,1.01792430738862,0.185,0.034,1
"Trim62",0.00624412428241623,-0.929643709033612,0.042,0.155,1
"Myef2",0.00649165853865146,0.64101246455534,0.269,0.086,1
"Ndufb11",0.00652735580657988,-0.798065558357412,0.059,0.19,1
"Cbfa2t2",0.00675547913661045,0.867101822297607,0.269,0.086,1
"Lrrc29",0.00676969437077215,0.752608237802189,0.118,0,1
"2900079G21Rik",0.00676969437077215,0.763078086857172,0.118,0,1
"Agk",0.00716828558917477,0.803154648265784,0.21,0.052,1
"Tasor2",0.00716967161222708,0.626379355333375,0.252,0.069,1
"Pcdh7",0.0075509926560093,-0.557878966675623,0.336,0.517,1
"Sorcs2",0.00774653210406104,-1.04816783756114,0.076,0.207,1
"Ythdf3",0.00799093543927861,0.685699990279832,0.218,0.052,1
"Mblac2",0.0081665013501747,0.819846236870927,0.176,0.034,1
"2810410L24Rik",0.0081956295190456,-1.07440576861985,0.017,0.103,1
"Mtmr7",0.00823997404968655,-0.675465039096825,0.05,0.172,1
"Nrbp2",0.00838496777576755,-0.818871628344021,0.025,0.121,1
"Rps5",0.00843989380499868,0.780232803577252,0.235,0.069,1
"Gabrg3",0.0085178436737378,-0.396464438096447,0.151,0.345,1
"Taf1",0.00852179252445978,0.902844186970132,0.143,0.017,1
"Szrd1",0.00857998841449946,-0.69424415998334,0.025,0.121,1
"Grm7",0.0086059206290807,1.10675222942901,0.378,0.19,1
"Pkd1",0.00897478918879965,0.804260635406805,0.176,0.034,1
"Plekha1",0.00903546771268779,0.515228548419394,0.244,0.069,1
"Rbbp5",0.00907617982953221,-0.583570993729396,0.017,0.103,1
"Ugp2",0.00911275920382149,-0.70692290322654,0.042,0.155,1
"Jund",0.00927718628262844,0.659964000899274,0.109,0,1
"Macroh2a2",0.00927718628262844,0.712500321084402,0.109,0,1
"Chst11",0.00927718628262844,0.557918087261328,0.109,0,1
"Slc43a2",0.00927718628262844,0.665312596278984,0.109,0,1
"Ammecr1",0.00927718628262844,0.79262846388944,0.109,0,1
"Ramp1",0.00930911329616041,-0.690534041981956,0.017,0.103,1
"Cntnap5c",0.00936463065635838,2.0528429540463,0.168,0.034,1
"Bclaf3",0.00979460356582092,0.775730646083597,0.143,0.017,1
"Mllt3",0.00983276879710105,0.551857394154174,0.437,0.207,1
"Grik3",0.00985377954158561,0.806576606642495,0.176,0.034,1
"Ak6",0.010040243418469,-0.611338763147846,0.017,0.103,1
"Cacna1e",0.0101438811665258,0.968810107331576,0.193,0.052,1
"Dmxl1",0.0102014782372873,0.589680227054691,0.336,0.138,1
"Ikbip",0.0102919055653954,-0.610279064573118,0.025,0.121,1
"Ccbe1",0.0102950787789971,-0.814340738996564,0.017,0.103,1
"Fam219a",0.0104589261983636,0.867876482772745,0.168,0.034,1
"Zfp846",0.0104589261983636,0.779499995982889,0.168,0.034,1
"Srsf10",0.0104822629351909,-0.750327014706165,0.168,0.328,1
"Prkacb",0.0105474160781437,0.873165203988357,0.277,0.103,1
"Ttc39c",0.0106438999577868,0.699140811903121,0.176,0.034,1
"Xrcc4",0.0106440237082158,0.761663576069836,0.176,0.034,1
"Ankrd46",0.0107647953602174,-0.610246201087626,0.025,0.121,1
