"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",2.62751558557557e-57,-0.584199910132715,0.998,1,9.16135859222633e-53
"Kazn",5.63179151067056e-13,0.486400872434471,0.779,0.57,1.9636367460255e-08
"Gm47283",6.06825960379064e-12,0.509961942523392,0.104,0.006,2.11582007605368e-07
"Echdc2",1.07695400933249e-10,0.541062787836198,0.173,0.045,3.75501554433958e-06
"Calm1",1.72453471015151e-09,-0.462956666399149,0.712,0.799,6.01293517388526e-05
"Fry",1.04824850700573e-08,0.389098974926088,0.762,0.572,0.000365492806937688
"Nkain3",4.6942560401734e-08,0.539639590733186,0.532,0.365,0.00163674625352726
"Nrgn",5.69229970818715e-08,-0.523658325119361,0.488,0.59,0.00198473413925361
"Tes",5.94331308039967e-08,0.479344954910861,0.39,0.223,0.00207225497174295
"Grik2",7.82687913141711e-08,0.372010817179225,0.893,0.779,0.0027289979467512
"Kcnip1",1.25696286510224e-07,0.441284218465694,0.48,0.309,0.00438265242175198
"Cmss1",2.37730688984677e-07,-0.483703814400273,0.541,0.627,0.00828895593282873
"Rtn1",3.62828237369659e-07,-0.412943264679146,0.708,0.754,0.0126507321523679
"Mir6236",5.98319696713422e-07,-0.558090658134797,0.278,0.383,0.0208616128653069
"Lhfpl3",6.21878424050194e-07,-0.253012668319054,0.944,0.943,0.0216830350113581
"Dscam",8.34055858097011e-07,0.271024890060868,0.969,0.961,0.0290810256042685
"Gm11149",8.55287380445312e-07,0.546937028606562,0.38,0.236,0.0298213050939867
"9630028H03Rik",8.90217331943956e-07,0.443609136800112,0.322,0.182,0.0310392077128899
"Adarb2",1.15852659630159e-06,0.364284202092791,0.883,0.814,0.0403943468332475
"Erbb4",1.63300080225143e-06,0.266736851340908,0.965,0.949,0.0569378389721006
"Cntn6",1.95717041143509e-06,0.468895671684051,0.536,0.381,0.0682406607355074
"8030451O07Rik",2.06106681315514e-06,0.344037565994756,0.192,0.086,0.0718632165742801
"Nrg3os",3.27561927277617e-06,0.448768488055881,0.313,0.182,0.114211017183887
"Serinc5",3.81673950466247e-06,0.29158905562776,0.324,0.182,0.133078256309066
"Crebrf",4.13258545357087e-06,0.317513740978501,0.392,0.244,0.144090857009656
"Pak3",5.13417591887862e-06,0.326509538011646,0.564,0.402,0.179013311763541
