"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lingo2",0,1.84742663716335,0.994,0.465,0,"0","Lingo2"
"Tafa1",0,1.70268130283516,0.922,0.25,0,"0","Tafa1"
"Chrm3",0,1.68818963875451,0.971,0.395,0,"0","Chrm3"
"Slit3",0,1.67446375372072,0.955,0.308,0,"0","Slit3"
"Kcnip4",0,1.63702740517646,1,0.691,0,"0","Kcnip4"
"Kcnq5",0,1.55752731760076,0.996,0.519,0,"0","Kcnq5"
"Fstl4",0,1.53106700168637,0.918,0.263,0,"0","Fstl4"
"Kctd16",0,1.52449953478871,0.994,0.51,0,"0","Kctd16"
"Epha6",0,1.50218717247116,0.929,0.403,0,"0","Epha6"
"Rgs6",0,1.45694993483563,0.983,0.46,0,"0","Rgs6"
"Camk2a",0,1.4481629241824,0.99,0.478,0,"0","Camk2a"
"Lrfn5",0,1.43870361187298,0.993,0.551,0,"0","Lrfn5"
"Sorbs2",0,1.40466400998255,0.991,0.528,0,"0","Sorbs2"
"Sorbs2os",0,1.3827742875013,0.942,0.377,0,"0","Sorbs2os"
"Lrrtm4",0,1.38160533594669,0.997,0.572,0,"0","Lrrtm4"
"Cacng3",0,1.37687770088524,0.895,0.273,0,"0","Cacng3"
"Rasgrf2",0,1.32447127893545,0.853,0.212,0,"0","Rasgrf2"
"Prkg1",0,1.30027820545104,0.981,0.464,0,"0","Prkg1"
"Ntrk3",0,1.2937563231027,0.981,0.47,0,"0","Ntrk3"
"Unc5d",0,1.27598028938174,0.913,0.3,0,"0","Unc5d"
"Car10",0,1.26246593121435,0.984,0.448,0,"0","Car10"
"Nwd2",0,1.25825470122883,0.798,0.231,0,"0","Nwd2"
"Cux2",0,1.25812332899931,0.824,0.169,0,"0","Cux2"
"Cnksr2",0,1.25739468501882,0.981,0.496,0,"0","Cnksr2"
"B230303A05Rik",0,1.2449281315297,0.804,0.269,0,"0","B230303A05Rik"
"Il1rapl1",0,1.21960241204138,0.995,0.746,0,"0","Il1rapl1"
"Celf2",0,1.2157164321047,0.999,0.831,0,"0","Celf2"
"Grm1",0,1.21453453172753,0.83,0.257,0,"0","Grm1"
"Pcsk2",0,1.21157164847638,0.99,0.547,0,"0","Pcsk2"
"Gm26871",0,1.20949175810113,0.966,0.406,0,"0","Gm26871"
"Ccbe1",0,1.20662365009118,0.574,0.044,0,"0","Ccbe1"
"Cdh12",0,1.20340723570802,0.876,0.337,0,"0","Cdh12"
"Gria3",0,1.20266742371136,0.996,0.587,0,"0","Gria3"
"Nrg1",0,1.19611814604414,0.996,0.547,0,"0","Nrg1"
"Mlip",0,1.19489136925467,0.806,0.246,0,"0","Mlip"
"Pdzrn3",0,1.18704660331608,0.81,0.241,0,"0","Pdzrn3"
"Cacna2d1",0,1.17967622680227,0.988,0.528,0,"0","Cacna2d1"
"Erc2",0,1.14553830719137,0.989,0.576,0,"0","Erc2"
"Dab1",0,1.14476406717398,0.99,0.593,0,"0","Dab1"
"Ryr2",0,1.14045370353006,0.987,0.51,0,"0","Ryr2"
"Csmd1",0,1.12937058397384,0.998,0.694,0,"0","Csmd1"
"4933424G05Rik",0,1.12432784996929,0.747,0.179,0,"0","4933424G05Rik"
"Kcnb2",0,1.12312208514246,0.983,0.455,0,"0","Kcnb2"
"Tenm2",0,1.11528286758911,0.974,0.578,0,"0","Tenm2"
"Cacnb2",0,1.11142545879046,0.93,0.42,0,"0","Cacnb2"
"Gsg1l",0,1.11129437156473,0.702,0.141,0,"0","Gsg1l"
"Ralyl",0,1.10723193357893,0.992,0.545,0,"0","Ralyl"
"Nectin3",0,1.1050099747838,0.733,0.146,0,"0","Nectin3"
"Ppfia2",0,1.10201305551878,0.978,0.53,0,"0","Ppfia2"
"Marchf1",0,1.082828669781,0.975,0.543,0,"0","Marchf1"
"Gabra2",0,1.07104494820555,0.89,0.35,0,"0","Gabra2"
"Dlgap2",0,1.07049195385062,0.992,0.535,0,"0","Dlgap2"
"Rfx3",0,1.06831732575979,0.875,0.415,0,"0","Rfx3"
"Cacna1e",0,1.06155011515852,0.96,0.435,0,"0","Cacna1e"
"Opcml",0,1.06146259076918,0.998,0.675,0,"0","Opcml"
"Trpc6",0,1.0596166859301,0.545,0.133,0,"0","Trpc6"
"Grin2b",0,1.05805797230788,0.996,0.638,0,"0","Grin2b"
"Kctd1",0,1.04354325746705,0.85,0.272,0,"0","Kctd1"
"9530059O14Rik",0,1.040814189465,0.902,0.347,0,"0","9530059O14Rik"
"Dgki",0,1.04036280613171,0.97,0.536,0,"0","Dgki"
"Nell2",0,1.03909314933813,0.948,0.434,0,"0","Nell2"
"Itga8",0,1.0200054338908,0.542,0.094,0,"0","Itga8"
"Gm20754",0,1.01447985203292,0.831,0.236,0,"0","Gm20754"
"Gm48530",0,1.01043153500174,0.497,0.056,0,"0","Gm48530"
"Rgs7",0,1.00998974787709,0.984,0.599,0,"0","Rgs7"
"Lrrc7",0,1.00574848680378,0.992,0.578,0,"0","Lrrc7"
"ENSMUSG00000120926",0,1.00107369286932,0.717,0.213,0,"0","ENSMUSG00000120926"
"Slc24a4",0,0.999170465775526,0.597,0.09,0,"0","Slc24a4"
"Kcnj6",0,0.996926768524237,0.862,0.328,0,"0","Kcnj6"
"Kalrn",0,0.995980075374757,0.994,0.614,0,"0","Kalrn"
"Gm10754",0,0.987880808862398,0.48,0.057,0,"0","Gm10754"
"Kcnh7",0,0.982792627895753,0.994,0.576,0,"0","Kcnh7"
"Grm5",0,0.978546502665084,0.997,0.61,0,"0","Grm5"
"Sphkap",0,0.96513516902886,0.861,0.318,0,"0","Sphkap"
"Cntn4",0,0.961286734490346,0.979,0.524,0,"0","Cntn4"
"Grin2a",0,0.958080764498087,0.993,0.521,0,"0","Grin2a"
"Cracdl",0,0.945650296919447,0.769,0.229,0,"0","Cracdl"
"Gucy1a2",0,0.944912601855219,0.894,0.407,0,"0","Gucy1a2"
"Fgf14",0,0.933409687452231,0.997,0.695,0,"0","Fgf14"
"Arhgap10",0,0.932990381273276,0.687,0.187,0,"0","Arhgap10"
"Hecw1",0,0.925474385530206,0.93,0.436,0,"0","Hecw1"
"Sipa1l1",0,0.923894610993647,0.949,0.487,0,"0","Sipa1l1"
"Gm37340",0,0.921373465541105,0.757,0.243,0,"0","Gm37340"
"Egfem1",0,0.916206889429398,0.651,0.321,0,"0","Egfem1"
"Ak5",0,0.914560885287944,0.813,0.317,0,"0","Ak5"
"D430041D05Rik",0,0.907909277401213,0.924,0.429,0,"0","D430041D05Rik"
"Gm16351",0,0.907358465896073,0.667,0.191,0,"0","Gm16351"
"Mapk4",0,0.904891258172157,0.771,0.239,0,"0","Mapk4"
"Syn3",0,0.893145770930168,0.698,0.244,0,"0","Syn3"
"Rbfox3",0,0.891643228407844,0.923,0.434,0,"0","Rbfox3"
"Nlgn1",0,0.891587737193546,0.998,0.785,0,"0","Nlgn1"
"Mkx",0,0.889479686136393,0.727,0.233,0,"0","Mkx"
"Cacna1c",0,0.887249932452307,0.972,0.52,0,"0","Cacna1c"
"Trerf1",0,0.886754137621781,0.876,0.386,0,"0","Trerf1"
"1700111E14Rik",0,0.885256700742292,0.761,0.278,0,"0","1700111E14Rik"
"Gm43670",0,0.884303963768881,0.674,0.184,0,"0","Gm43670"
"Gm15155",0,0.88397824487081,0.637,0.197,0,"0","Gm15155"
"Dgkb",0,0.882671310959603,0.956,0.479,0,"0","Dgkb"
"Cntnap5a",0,0.881234858245776,0.867,0.323,0,"0","Cntnap5a"
"Greb1l",0,0.879890990692454,0.643,0.157,0,"0","Greb1l"
"Pdzrn4",0,0.878723571777537,0.856,0.355,0,"0","Pdzrn4"
"Ptprk",0,0.877599475318257,0.898,0.369,0,"0","Ptprk"
"Pparg",0,0.875824249372056,0.584,0.122,0,"0","Pparg"
"Col19a1",0,0.868066394702348,0.641,0.178,0,"0","Col19a1"
"Gm28376",0,0.859742446563527,0.863,0.349,0,"0","Gm28376"
"4930509J09Rik",0,0.857821463190246,0.626,0.14,0,"0","4930509J09Rik"
"Ablim2",0,0.852002982873394,0.835,0.326,0,"0","Ablim2"
"Smoc2",0,0.848101024957963,0.436,0.058,0,"0","Smoc2"
"Tmem108",0,0.842287872055596,0.847,0.298,0,"0","Tmem108"
"Grm7",0,0.838710458187672,0.996,0.602,0,"0","Grm7"
"B230216N24Rik",0,0.83864431731406,0.527,0.106,0,"0","B230216N24Rik"
"Cdh7",0,0.834902110240977,0.596,0.127,0,"0","Cdh7"
"Smarca2",0,0.831007682020095,0.879,0.386,0,"0","Smarca2"
"Atrnl1",0,0.828873242640555,0.949,0.494,0,"0","Atrnl1"
"Pam",0,0.816278830922437,0.934,0.474,0,"0","Pam"
"Trank1",0,0.810149517701185,0.847,0.359,0,"0","Trank1"
"2900064K03Rik",0,0.805663956911495,0.638,0.177,0,"0","2900064K03Rik"
"Phactr1",0,0.803586723536283,0.995,0.698,0,"0","Phactr1"
"Hdac9",0,0.803337354612473,0.959,0.542,0,"0","Hdac9"
"Robo1",0,0.802526143347872,0.962,0.548,0,"0","Robo1"
"Shank2",0,0.800095627031419,0.798,0.308,0,"0","Shank2"
"Dlg2",0,0.799118965473381,0.999,0.781,0,"0","Dlg2"
"R3hdm1",0,0.796716519357714,0.986,0.652,0,"0","R3hdm1"
"Arl15",0,0.793546152963114,0.909,0.436,0,"0","Arl15"
"Khdrbs2",0,0.792334959039465,0.888,0.373,0,"0","Khdrbs2"
"Tmem132d",0,0.791280878529057,0.831,0.386,0,"0","Tmem132d"
"Ksr2",0,0.790852230389925,0.83,0.362,0,"0","Ksr2"
"Cacna2d3",0,0.790832801948821,0.898,0.367,0,"0","Cacna2d3"
"Slc16a2",0,0.784085952401101,0.613,0.145,0,"0","Slc16a2"
"Caln1",0,0.781665350653604,0.781,0.293,0,"0","Caln1"
"Syt7",0,0.780047124554946,0.855,0.366,0,"0","Syt7"
"Gm42772",0,0.776006761175204,0.609,0.17,0,"0","Gm42772"
"Pitpnm2",0,0.771664262022314,0.68,0.207,0,"0","Pitpnm2"
"Samd12",0,0.770906676508966,0.969,0.527,0,"0","Samd12"
"Ankrd33b",0,0.761966925591663,0.663,0.217,0,"0","Ankrd33b"
"Adgrl3",0,0.758178155332326,0.99,0.708,0,"0","Adgrl3"
"Pde7b",0,0.757662639711858,0.728,0.245,0,"0","Pde7b"
"Epha3",0,0.75125676421966,0.6,0.168,0,"0","Epha3"
"Rasgef1b",0,0.749671086028041,0.829,0.313,0,"0","Rasgef1b"
"Cobl",0,0.747867697544852,0.864,0.353,0,"0","Cobl"
"Sorcs3",0,0.745786623031853,0.738,0.313,0,"0","Sorcs3"
"Syt17",0,0.744877698382296,0.537,0.116,0,"0","Syt17"
"Rasal2",0,0.744084963568727,0.942,0.548,0,"0","Rasal2"
"Gm16599",0,0.73240087536463,0.65,0.224,0,"0","Gm16599"
"Tmem178b",0,0.727001638803105,0.966,0.572,0,"0","Tmem178b"
"Gpc6",0,0.726664750422139,0.947,0.451,0,"0","Gpc6"
"Rgl1",0,0.72597820499146,0.687,0.211,0,"0","Rgl1"
"Nrg3os",0,0.725595649581037,0.97,0.489,0,"0","Nrg3os"
"Lmo7",0,0.72341580094382,0.568,0.146,0,"0","Lmo7"
"Gabrb3",0,0.720950288791733,0.982,0.563,0,"0","Gabrb3"
"Ctnna3",0,0.720115204086101,0.974,0.585,0,"0","Ctnna3"
"Gm13269",0,0.715529580843883,0.525,0.112,0,"0","Gm13269"
"Cadm2",0,0.708848071444979,0.997,0.842,0,"0","Cadm2"
"Gm15738",0,0.708837877371939,0.814,0.355,0,"0","Gm15738"
"Cap2",0,0.70702754648993,0.86,0.399,0,"0","Cap2"
"Synpo",0,0.706478870447561,0.606,0.178,0,"0","Synpo"
"5730522E02Rik",0,0.703966087421388,0.798,0.361,0,"0","5730522E02Rik"
"Brinp1",0,0.702625760582104,0.919,0.489,0,"0","Brinp1"
"Slc9a9",0,0.701726156269309,0.908,0.446,0,"0","Slc9a9"
"Dlgap3",0,0.701558643479972,0.64,0.212,0,"0","Dlgap3"
"Gm43316",0,0.701465162541301,0.566,0.158,0,"0","Gm43316"
"Arhgap32",0,0.699137148886219,0.894,0.458,0,"0","Arhgap32"
"Prkca",0,0.696583571903377,0.942,0.505,0,"0","Prkca"
"Ptprn2",0,0.694712246807195,0.959,0.52,0,"0","Ptprn2"
"Add2",0,0.694379038314433,0.744,0.301,0,"0","Add2"
"Gm20642",0,0.693778491368634,0.962,0.485,0,"0","Gm20642"
"Magi3",0,0.69249226087155,0.81,0.325,0,"0","Magi3"
"Gm55122",0,0.691323673789267,0.922,0.467,0,"0","Gm55122"
"Nrg3",0,0.690552726108407,0.998,0.674,0,"0","Nrg3"
"Dok6",0,0.690526159097841,0.911,0.491,0,"0","Dok6"
"Rskr",0,0.689146723842045,0.426,0.067,0,"0","Rskr"
"Sntb2",0,0.688674906563977,0.6,0.185,0,"0","Sntb2"
"Nav3",0,0.686937483494243,0.994,0.707,0,"0","Nav3"
"Prr16",0,0.686909690471682,0.784,0.341,0,"0","Prr16"
"A230006K03Rik",0,0.686822230755894,0.899,0.389,0,"0","A230006K03Rik"
"Satb2",0,0.686584471668403,0.776,0.287,0,"0","Satb2"
"Gm1976",0,0.684428019149868,0.696,0.251,0,"0","Gm1976"
"Gm48091",0,0.673341051016749,0.716,0.285,0,"0","Gm48091"
"Smpd4",0,0.671961797693208,0.638,0.223,0,"0","Smpd4"
"Ppm1e",0,0.671873370584453,0.922,0.484,0,"0","Ppm1e"
"D630045J12Rik",0,0.671287733184113,0.678,0.239,0,"0","D630045J12Rik"
"Actn1",0,0.67106176138181,0.57,0.159,0,"0","Actn1"
"Grin1",0,0.67030187521141,0.92,0.479,0,"0","Grin1"
"Auts2",0,0.668251376224095,0.993,0.755,0,"0","Auts2"
"Cntn3",0,0.666588938549422,0.853,0.401,0,"0","Cntn3"
"Rps6ka2",0,0.66447965491423,0.527,0.136,0,"0","Rps6ka2"
"Alcam",0,0.66114200772344,0.925,0.431,0,"0","Alcam"
"Calb1",0,0.658128899393525,0.583,0.118,0,"0","Calb1"
"Tspoap1",0,0.656729769530264,0.677,0.256,0,"0","Tspoap1"
"Otof",0,0.650391597353667,0.319,0.012,0,"0","Otof"
"Mrtfb",0,0.648896156821015,0.901,0.451,0,"0","Mrtfb"
"Dlgap1",0,0.646920509484628,0.996,0.722,0,"0","Dlgap1"
"Zfp697",0,0.646539338555745,0.616,0.197,0,"0","Zfp697"
"Klhl29",0,0.646485652127662,0.857,0.409,0,"0","Klhl29"
"Iqsec2",0,0.64483770313729,0.75,0.306,0,"0","Iqsec2"
"Aopep",0,0.643525457756476,0.88,0.445,0,"0","Aopep"
"Robo3",0,0.638504522504024,0.345,0.054,0,"0","Robo3"
"Gm30382",0,0.637356692552664,0.59,0.204,0,"0","Gm30382"
"Fndc9",0,0.635021368871387,0.638,0.24,0,"0","Fndc9"
"Gm12002",0,0.631608219161266,0.573,0.184,0,"0","Gm12002"
"Meg3",0,0.631513096467326,1,0.741,0,"0","Meg3"
"Kcnma1",0,0.631414049956136,0.988,0.646,0,"0","Kcnma1"
"Rad51ap2",0,0.63051049098553,0.443,0.126,0,"0","Rad51ap2"
"Gm43948",0,0.628733293393898,0.441,0.105,0,"0","Gm43948"
"Gucy1a1",0,0.628056440988257,0.512,0.106,0,"0","Gucy1a1"
"Rasgef1a",0,0.627870504007055,0.706,0.285,0,"0","Rasgef1a"
"Adamts3",0,0.627287491002338,0.438,0.078,0,"0","Adamts3"
"Ablim1",0,0.626779005296342,0.866,0.425,0,"0","Ablim1"
"Pcsk2os2",0,0.625394601487844,0.467,0.13,0,"0","Pcsk2os2"
"Nyap2",0,0.624912733860856,0.849,0.37,0,"0","Nyap2"
"Hace1",0,0.623408259803362,0.724,0.294,0,"0","Hace1"
"Unc80",0,0.62265026444148,0.933,0.496,0,"0","Unc80"
"Lin7a",0,0.621613320536137,0.679,0.258,0,"0","Lin7a"
"Arfgef3",0,0.620428142746246,0.789,0.356,0,"0","Arfgef3"
"Adcy2",0,0.620193787350639,0.933,0.496,0,"0","Adcy2"
"Gabrb2",0,0.618184289429831,0.888,0.432,0,"0","Gabrb2"
"Atp2b1",0,0.617545821807934,0.989,0.69,0,"0","Atp2b1"
"Wipf3",0,0.615635998081484,0.546,0.157,0,"0","Wipf3"
"Lrtm1",0,0.615205909836293,0.525,0.175,0,"0","Lrtm1"
"Asic2",0,0.615147996550322,0.99,0.594,0,"0","Asic2"
"Man1a2",0,0.613844127161119,0.846,0.391,0,"0","Man1a2"
"Chn1",0,0.613342583020826,0.935,0.535,0,"0","Chn1"
"Jph1",0,0.612994246734384,0.666,0.241,0,"0","Jph1"
"6530403H02Rik",0,0.612336180170846,0.312,0.068,0,"0","6530403H02Rik"
"Glp2r",0,0.611280957501706,0.874,0.427,0,"0","Glp2r"
"Cdh8",0,0.610120696423467,0.741,0.292,0,"0","Cdh8"
"Cadps",0,0.60971170551597,0.987,0.608,0,"0","Cadps"
"Ptk2b",0,0.608110543314002,0.684,0.235,0,"0","Ptk2b"
"Epha10",0,0.603302108006685,0.483,0.143,0,"0","Epha10"
"Rgs7bp",0,0.602735718929195,0.911,0.506,0,"0","Rgs7bp"
"Cacna1a",0,0.601954829752529,0.972,0.549,0,"0","Cacna1a"
"Epha4",0,0.601725789585684,0.805,0.325,0,"0","Epha4"
"Dpp10",0,0.599079456096236,0.999,0.674,0,"0","Dpp10"
"Rimbp2",0,0.597953132727961,0.791,0.357,0,"0","Rimbp2"
"Baiap2",0,0.596625568571891,0.711,0.275,0,"0","Baiap2"
"Lrfn2",0,0.596528583470385,0.64,0.257,0,"0","Lrfn2"
"Homer1",0,0.595949948737499,0.791,0.373,0,"0","Homer1"
"Sv2b",0,0.594347969261121,0.877,0.386,0,"0","Sv2b"
"Cabp1",0,0.592221606322202,0.618,0.23,0,"0","Cabp1"
"ENSMUSG00000120285",0,0.591919143225992,0.667,0.269,0,"0","ENSMUSG00000120285"
"Gm10115",0,0.590730910413069,0.499,0.145,0,"0","Gm10115"
"Prmt8",0,0.589854165654895,0.533,0.171,0,"0","Prmt8"
"Lrrtm3",0,0.587583737979807,0.908,0.485,0,"0","Lrrtm3"
"Itpka",0,0.587354826419167,0.598,0.173,0,"0","Itpka"
"Kitl",0,0.586681964806621,0.448,0.091,0,"0","Kitl"
"Miat",0,0.585609378757653,0.769,0.332,0,"0","Miat"
"Rtl4",0,0.584022517550573,0.698,0.264,0,"0","Rtl4"
"Ano3",0,0.583791942356975,0.881,0.399,0,"0","Ano3"
"Syt16",0,0.583733863159918,0.818,0.382,0,"0","Syt16"
"4930567K20Rik",0,0.58359123653083,0.349,0.072,0,"0","4930567K20Rik"
"Gm43341",0,0.58332074986459,0.488,0.138,0,"0","Gm43341"
"Ptprd",0,0.583078813227425,0.998,0.828,0,"0","Ptprd"
"9630028H03Rik",0,0.582561616783003,0.769,0.391,0,"0","9630028H03Rik"
"Itpr1",0,0.581304660236449,0.888,0.451,0,"0","Itpr1"
"Kcnd2",0,0.581210157174099,0.991,0.647,0,"0","Kcnd2"
"C78859",0,0.581145950539443,0.543,0.184,0,"0","C78859"
"Ccdc148",0,0.580921559459322,0.599,0.221,0,"0","Ccdc148"
"Syt1",0,0.579993262989285,0.998,0.766,0,"0","Syt1"
"Gm41505",0,0.57987083447922,0.507,0.147,0,"0","Gm41505"
"Gm42770",0,0.579796710894968,0.482,0.136,0,"0","Gm42770"
"Sidt1",0,0.579430511196295,0.679,0.284,0,"0","Sidt1"
"Gm20063",0,0.576891647635557,0.378,0.065,0,"0","Gm20063"
"Syndig1",0,0.576853043299607,0.55,0.196,0,"0","Syndig1"
"P2ry14",0,0.576539440345586,0.702,0.299,0,"0","P2ry14"
"Cacna1b",0,0.576311311877625,0.777,0.354,0,"0","Cacna1b"
"Gm13883",0,0.575887141662247,0.489,0.161,0,"0","Gm13883"
"Msra",0,0.575681416149151,0.824,0.39,0,"0","Msra"
"Cdk14",0,0.571853099003929,0.926,0.514,0,"0","Cdk14"
"Tenm4",0,0.571562029771488,0.944,0.466,0,"0","Tenm4"
"Ppp3ca",0,0.570550406528704,0.996,0.797,0,"0","Ppp3ca"
"Kcnj3",0,0.568396198556831,0.902,0.467,0,"0","Kcnj3"
"Kcnh1",0,0.568033665882439,0.737,0.316,0,"0","Kcnh1"
"Gm42439",0,0.568021709711748,0.74,0.304,0,"0","Gm42439"
"Sobp",0,0.565779624819575,0.877,0.456,0,"0","Sobp"
"Zfhx4",0,0.565723919535206,0.591,0.129,0,"0","Zfhx4"
"Gm5441",0,0.565164837534575,0.464,0.137,0,"0","Gm5441"
"Sez6l",0,0.563675175142128,0.708,0.294,0,"0","Sez6l"
"Cpne9",0,0.561356340992672,0.438,0.107,0,"0","Cpne9"
"Hs6st3",0,0.560130032542053,0.774,0.363,0,"0","Hs6st3"
"Gda",0,0.560081442616362,0.7,0.284,0,"0","Gda"
"Gm36975",0,0.558769385628832,0.85,0.43,0,"0","Gm36975"
"Arpp21",0,0.558088316525983,0.993,0.565,0,"0","Arpp21"
"Gm10848",0,0.557330721853208,0.349,0.043,0,"0","Gm10848"
"Cttnbp2",0,0.555086605588766,0.935,0.567,0,"0","Cttnbp2"
"Dock3",0,0.553916656074942,0.965,0.608,0,"0","Dock3"
"Npas2",0,0.551676299672779,0.67,0.266,0,"0","Npas2"
"Grik4",0,0.550892611732629,0.592,0.22,0,"0","Grik4"
"Cux1",0,0.5502507763476,0.68,0.284,0,"0","Cux1"
"Scn8a",0,0.549784057501675,0.886,0.465,0,"0","Scn8a"
"Atp2b4",0,0.54871709423217,0.54,0.174,0,"0","Atp2b4"
"Wasf1",0,0.547048050017896,0.752,0.333,0,"0","Wasf1"
"Stxbp5l",0,0.546565692374978,0.936,0.506,0,"0","Stxbp5l"
"Ldb2",0,0.545845490250337,0.798,0.34,0,"0","Ldb2"
"Snhg11",0,0.543459333360564,1,0.72,0,"0","Snhg11"
"Rnf165",0,0.54326583077934,0.551,0.19,0,"0","Rnf165"
"Atf6",0,0.542992859681836,0.705,0.288,0,"0","Atf6"
"Nup93",0,0.542100254527886,0.599,0.226,0,"0","Nup93"
"Sntg2",0,0.541242704775344,0.399,0.091,0,"0","Sntg2"
"Gm43318",0,0.54120979314041,0.431,0.115,0,"0","Gm43318"
"Septin11",0,0.539751912177583,0.761,0.343,0,"0","Septin11"
"Ppme1",0,0.539379160532983,0.656,0.284,0,"0","Ppme1"
"Meis2",0,0.538571408980588,0.917,0.412,0,"0","Meis2"
"Rims2",0,0.538224548218977,0.977,0.619,0,"0","Rims2"
"Exph5",0,0.537081674381247,0.371,0.074,0,"0","Exph5"
"Tmem132b",0,0.536474031347546,0.872,0.46,0,"0","Tmem132b"
"2210408F21Rik",0,0.536317364643195,0.804,0.399,0,"0","2210408F21Rik"
"Nin",0,0.536174376543747,0.697,0.302,0,"0","Nin"
"Gfod1",0,0.53418087247223,0.609,0.238,0,"0","Gfod1"
"Kcnk9",0,0.53415747616125,0.466,0.13,0,"0","Kcnk9"
"9130024F11Rik",0,0.53380033006561,0.572,0.204,0,"0","9130024F11Rik"
"ENSMUSG00000120037",0,0.532433765791467,0.308,0.053,0,"0","ENSMUSG00000120037"
"Gm44829",0,0.532258645358789,0.792,0.391,0,"0","Gm44829"
"Flrt2",0,0.531047470521153,0.796,0.39,0,"0","Flrt2"
"Brinp2",0,0.530796378979649,0.744,0.334,0,"0","Brinp2"
"Zfyve28",0,0.529601909050223,0.615,0.245,0,"0","Zfyve28"
"Mapk10",0,0.528226934385797,0.965,0.596,0,"0","Mapk10"
"Gm30092",0,0.526922629403942,0.342,0.099,0,"0","Gm30092"
"Macrod2",0,0.524945783437499,0.993,0.704,0,"0","Macrod2"
"C1ql3",0,0.524148390113762,0.767,0.327,0,"0","C1ql3"
"Rbfox1",0,0.523204246922671,0.998,0.698,0,"0","Rbfox1"
"Rnf112",0,0.52127660570962,0.697,0.291,0,"0","Rnf112"
"Acvr1c",0,0.521198437316751,0.361,0.067,0,"0","Acvr1c"
"Anks1b",0,0.517008040205636,0.995,0.693,0,"0","Anks1b"
"Aff3",0,0.516236287026848,0.846,0.427,0,"0","Aff3"
"Elapor1",0,0.516112503600046,0.572,0.231,0,"0","Elapor1"
"Frmd6",0,0.515791484784262,0.559,0.2,0,"0","Frmd6"
"Gabra4",0,0.515450723602601,0.68,0.288,0,"0","Gabra4"
"Rasgrf1",0,0.515227440958299,0.835,0.412,0,"0","Rasgrf1"
"Unc79",0,0.514164621357326,0.856,0.446,0,"0","Unc79"
"Lzts1",0,0.513815500406259,0.539,0.195,0,"0","Lzts1"
"Mef2c",0,0.51359298066184,0.994,0.718,0,"0","Mef2c"
"Dgkz",0,0.512923891624976,0.678,0.285,0,"0","Dgkz"
"Mgat5",0,0.512779893054652,0.8,0.337,0,"0","Mgat5"
"Gm12394",0,0.512767395653309,0.739,0.327,0,"0","Gm12394"
"Atp2b2",0,0.511959233848612,0.944,0.586,0,"0","Atp2b2"
"Adgrb1",0,0.51192732920664,0.711,0.305,0,"0","Adgrb1"
"Nrg2",0,0.510296198260644,0.655,0.287,0,"0","Nrg2"
"Evc2",0,0.509871158486314,0.311,0.028,0,"0","Evc2"
"1700109K24Rik",0,0.509800504443719,0.593,0.236,0,"0","1700109K24Rik"
"Plekha5",0,0.508943178886915,0.888,0.485,0,"0","Plekha5"
"Prkcg",0,0.50876919681935,0.557,0.235,0,"0","Prkcg"
"Sptbn4",0,0.508334288136371,0.704,0.325,0,"0","Sptbn4"
"Spats2l",0,0.507776496476161,0.538,0.17,0,"0","Spats2l"
"Kcnd3",0,0.507523196828572,0.732,0.321,0,"0","Kcnd3"
"Apobec4",0,0.50705688264549,0.34,0.066,0,"0","Apobec4"
"Megf9",0,0.506126480683117,0.637,0.255,0,"0","Megf9"
"Gabbr2",0,0.506007242956027,0.914,0.511,0,"0","Gabbr2"
"Hivep2",0,0.505856948439572,0.969,0.624,0,"0","Hivep2"
"Rbm24",0,0.503726140484759,0.371,0.085,0,"0","Rbm24"
"Herc3",0,0.501512182623991,0.696,0.309,0,"0","Herc3"
"1700024B18Rik",0,0.500591282252107,0.537,0.221,0,"0","1700024B18Rik"
"Camkv",0,0.50009479272395,0.689,0.29,0,"0","Camkv"
"Epha5",0,0.500002178471487,0.967,0.585,0,"0","Epha5"
"4930547E14Rik",0,0.498030820990509,0.362,0.105,0,"0","4930547E14Rik"
"Pdzd2",0,0.497670989844904,0.589,0.231,0,"0","Pdzd2"
"Kcnq1ot1",0,0.497558458151406,0.918,0.56,0,"0","Kcnq1ot1"
"Plcb1",0,0.495263018820427,0.984,0.704,0,"0","Plcb1"
"Phf24",0,0.494834657739498,0.801,0.368,0,"0","Phf24"
"Gm10419",0,0.494582680047147,0.517,0.187,0,"0","Gm10419"
"Dmd",0,0.492335261898852,0.983,0.676,0,"0","Dmd"
"C030017B01Rik",0,0.491772004756901,0.453,0.129,0,"0","C030017B01Rik"
"Gm11099",0,0.491637830428707,0.382,0.113,0,"0","Gm11099"
"Gm16183",0,0.491007339619322,0.518,0.203,0,"0","Gm16183"
"Dapk1",0,0.490551204366434,0.692,0.311,0,"0","Dapk1"
"4930587E11Rik",0,0.489248309159594,0.509,0.211,0,"0","4930587E11Rik"
"Sntg1",0,0.489033370329695,0.976,0.555,0,"0","Sntg1"
"Rps6ka3",0,0.488833646708791,0.767,0.361,0,"0","Rps6ka3"
"Gnal",0,0.487550659440482,0.559,0.209,0,"0","Gnal"
"Gm42919",0,0.486909571560677,0.4,0.114,0,"0","Gm42919"
"Zfp831",0,0.48624845820432,0.352,0.075,0,"0","Zfp831"
"Osbpl10",0,0.485803694983105,0.539,0.208,0,"0","Osbpl10"
