"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",3.54425296951131e-09,-0.437345881602478,1,1,0.000123577468287951
"Plcb4",8.17109296120355e-05,1.03115687597473,0.463,0.189,1
"Tbc1d4",9.0015648018143e-05,1.22392388459373,0.375,0.133,1
"Pde4d",0.000109524015704169,-0.817326865622488,0.478,0.678,1
"Cisd1",0.000162566084170521,-1.15101638171616,0.066,0.233,1
"Zbtb16",0.000206080743485863,1.17260400523137,0.169,0.011,1
"Akap13",0.000232827028018751,1.16581312058254,0.294,0.089,1
"Taf1d",0.000266403571831653,1.33897889851089,0.162,0.011,1
"Nrgn",0.000398828177611914,-0.818132007700757,0.485,0.656,1
"Gatad2b",0.000568238213371124,1.06168819124773,0.213,0.044,1
"Apoe",0.000586144213871575,0.837614536584626,0.61,0.367,1
"Prkca",0.000921682123827552,0.966057042225381,0.206,0.044,1
"Ccl27a",0.000929189768973737,-1.05787388701657,0.022,0.133,1
"Rapgef2",0.00127433557952372,0.883051572906102,0.471,0.244,1
"Nebl",0.00137382118012374,0.995291856488396,0.434,0.233,1
"Ncor2",0.00140776378811543,1.05765272893112,0.191,0.044,1
"Nav1",0.00162797592500718,1.06207026100191,0.154,0.022,1
"Ptgds",0.00169190714593996,0.542176102356298,0.551,0.289,1
"Appl2",0.0017414002334925,0.982884184782587,0.103,0,1
"Tbca",0.0017414002334925,0.904032340868512,0.103,0,1
"Selenop",0.00180358563879155,0.992216156444086,0.191,0.044,1
"Ly6c1",0.00195059709742898,1.07595068293511,0.301,0.122,1
"Pex1",0.00205297326435031,-0.893304431232334,0.007,0.089,1
"Psma1",0.00223292188192247,0.791523242940355,0.191,0.044,1
"Adcy4",0.00235772850881278,-0.789833547549602,0,0.067,1
"Agpat1",0.00235772850881278,-0.790545644038672,0,0.067,1
"Tent5d",0.00235772850881278,-1.07435928768949,0,0.067,1
"Igf1r",0.00237260434080072,0.881687756642527,0.559,0.333,1
"Cfh",0.00243176533159252,1.12147939862804,0.235,0.078,1
"Atp6v1b2",0.00253185353823938,-0.868098069034766,0.11,0.256,1
"Trpm7",0.00258172887746324,0.886582002837605,0.272,0.1,1
"Marchf6",0.00259911439813305,-1.07568697508576,0.132,0.278,1
"Lrch1",0.00268370638925508,0.955818072727984,0.301,0.122,1
"Ccnd3",0.00278719534933282,1.01211267686263,0.191,0.056,1
"Vps13a",0.00294298380513731,0.834919837749419,0.221,0.067,1
"Kcnip4",0.00305537354983382,-0.612519228973799,0.324,0.511,1
"Mrpl54",0.00310851549508027,-0.961798813349531,0.015,0.1,1
"Map7d1",0.00321234191551741,-1.0147614188142,0.044,0.156,1
"Cacna1c",0.00327616924593085,-0.850400537948581,0.324,0.489,1
"Rbm27",0.00328246883639014,0.873449588855269,0.14,0.022,1
"Ccdc85a",0.00330284639166334,0.985323287168484,0.287,0.122,1
"Ldlrad4",0.00341792995692726,1.0381296539073,0.243,0.089,1
"Inpp5f",0.00360435703106126,1.13352914458146,0.154,0.033,1
"Cep83os",0.00378562407704699,-0.745122364512376,0.015,0.1,1
"Sorbs1",0.00379822027204898,0.532280185934673,0.456,0.233,1
"C2cd3",0.00390879117207142,0.795233343446085,0.088,0,1
"Pttg1ip",0.00390879117207142,0.694500223571197,0.088,0,1
"Sfi1",0.00390879117207142,0.763992262658225,0.088,0,1
"Rps3",0.00417295532608172,0.776081228987543,0.228,0.078,1
"Usp54",0.00429411988012647,0.906979753538405,0.11,0.011,1
"Tmtc4",0.00431936886127356,0.898343200667156,0.132,0.022,1
"Hint2",0.00436386755175403,-0.975307820299828,0.022,0.111,1
"Abcg2",0.00478092531789205,1.04632643345257,0.382,0.222,1
"Vps29",0.00480092838195349,0.86593972996884,0.132,0.022,1
"Dmtn",0.00484083326928306,-0.591467356751717,0.007,0.078,1
"Per3",0.00486442167464398,0.949414136767927,0.132,0.022,1
"Rpl22l1",0.0050195740195727,0.84853729699307,0.169,0.044,1
"Rusc1",0.00504016828993948,-0.752081227874858,0.007,0.078,1
"Dus4l",0.00504016828993948,-0.861589452074905,0.007,0.078,1
"Cblb",0.00516508166362945,0.826971372793544,0.169,0.044,1
"Nfatc3",0.00532810613407014,0.841683625921928,0.154,0.033,1
"Ccm2l",0.00540035505878638,0.721383646226894,0.132,0.022,1
"Rnf112",0.00557136729553961,-0.651217949509318,0.007,0.078,1
"Rdh11",0.00561940359724552,-0.702063496889161,0,0.056,1
"Ifngr2",0.00561940359724552,-0.63063111711262,0,0.056,1
"Msrb1",0.00561940359724552,-0.819541201929012,0,0.056,1
"Zfyve9",0.00573404913188995,0.689340978387134,0.221,0.078,1
"Rptor",0.00579095966942027,0.809127409404575,0.221,0.078,1
"Tagln2",0.00584864704591929,0.872379108472591,0.081,0,1
"Hps3",0.00584864704591929,0.765560638028315,0.081,0,1
"Tdrd7",0.00584864704591929,0.836525755047992,0.081,0,1
"Crlf3",0.00597800753306814,0.835632587131575,0.184,0.056,1
"Rpl12",0.00603258830368594,-0.91811674294546,0.066,0.178,1
"Dnajc19",0.00609027745215832,0.872855423207043,0.147,0.033,1
"1700018A04Rik",0.00609136365885449,-0.932790475500616,0.029,0.122,1
"Cp",0.00621223438105903,0.666635867280871,0.287,0.122,1
