"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",4.26209493569218e-273,-0.546548572043291,0.999,1,1.48606464122779e-268
"Echdc2",1.12454276992359e-71,0.631026783174428,0.125,0.023,3.92094327589259e-67
"Apoe",1.16095988035891e-64,0.557693982138851,0.722,0.568,4.04791881484741e-60
"Hif3a",5.67637915049612e-58,0.556460956368306,0.131,0.034,1.97918311840348e-53
"Gm47283",3.01900183683298e-48,0.382660513465831,0.062,0.005,1.05263537044855e-43
"Calm1",2.57096128676494e-43,-0.422546939801961,0.709,0.774,8.96417071856331e-39
"Nrgn",3.51891852939539e-43,-0.508012740795719,0.508,0.607,1.22694132364429e-38
"Etnppl",1.67309676027978e-42,0.474325595445576,0.084,0.018,5.83358647406751e-38
"Cdh19",4.16147626223653e-39,0.555583274654466,0.323,0.199,1.45098192835401e-34
"Ccnd3",7.51134603461797e-38,0.558439119408504,0.214,0.109,2.61898102189025e-33
"Cmss1",3.65605599076473e-34,-0.420171088195072,0.511,0.598,1.27475704229994e-29
"Tef",1.47803410937216e-32,0.378572676060557,0.289,0.173,5.15346152914792e-28
"Ptgds",7.6218985687296e-29,0.660251534015435,0.612,0.493,2.65752737395895e-24
"Atp1a2",1.10798982594344e-26,0.530203898416348,0.428,0.322,3.86322812611698e-22
"Rora",1.7234436009466e-26,0.549562932473743,0.532,0.454,6.00913080342051e-22
"Phka1",1.67074012634947e-25,0.409158054754379,0.276,0.179,5.8253695985427e-21
"Mt1",3.44704385876251e-23,0.387521575657522,0.23,0.144,1.20188078223472e-18
"Plce1",3.47405930335513e-23,0.438613941299853,0.136,0.07,1.21130025730083e-18
"Calm2",3.75774207584713e-23,-0.355775359615855,0.561,0.621,1.31021192958562e-18
"Rtn1",4.65044470191553e-23,-0.343165048635537,0.599,0.653,1.62147055421689e-18
"Asic2",1.60713171323709e-22,0.355465866714953,0.294,0.202,5.60358614454375e-18
"Fkbp5",1.84884923119706e-22,0.395405949435663,0.12,0.059,6.4463826144148e-18
