"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"9530026P05Rik",1.51205746861943e-07,-0.976183824177896,0.46,0.789,0.00527209077583537
"Slc4a10",1.80841869048396e-06,-0.44568535134733,0.929,0.968,0.0630541344811042
"Aldoa",1.99500180014709e-06,1.13866207098896,0.611,0.305,0.0695597277657287
"Calm1",2.33649399319353e-06,0.778421938848131,0.894,0.716,0.0814665360606788
"Stmn1",7.68540396960105e-06,0.889164452751116,0.664,0.368,0.26796698020808
"Gapdh",9.20529841464358e-06,1.0898108905061,0.69,0.389,0.320961139823378
"Hspa5",2.1900445738507e-05,0.936927049351488,0.522,0.232,0.763602841564525
"Fth1",2.41226511355049e-05,0.893408879452591,0.805,0.611,0.841084477141648
"Cox5a",2.44981684706001e-05,1.23931904108708,0.434,0.168,0.854177640064415
"Myo1e",2.63705820575128e-05,-1.04360594564661,0.018,0.189,0.919463084599298
"Nr1d2",2.82765682269455e-05,-1.11752895728778,0.044,0.242,0.985919104368909
"Pcp4",2.94293823391171e-05,0.93276330327531,0.496,0.2,1
"Kdm3a",6.20863171867896e-05,-0.876773716654193,0.035,0.221,1
"Kcnb2",6.79191019227962e-05,0.645274515474299,0.903,0.768,1
"Lrrc4",7.97795795505345e-05,1.08931493841562,0.265,0.063,1
"Enc1",8.72181150543768e-05,0.961420073652606,0.177,0.011,1
"Hsp90aa1",8.75625939081849e-05,0.982094652105559,0.593,0.358,1
"Mpp7",0.000119108618203235,-0.835950805178598,0.053,0.242,1
"Olfm1",0.000126526188859059,0.884481115844474,0.593,0.358,1
"Chchd2",0.000130509376341093,1.10686623547106,0.46,0.221,1
"Tshz2",0.000142339487422637,-0.798842742775507,0.451,0.695,1
"Aftph",0.000167048181396746,-0.889390292005774,0.088,0.284,1
"Gpcpd1",0.000198887456098646,-0.808139307820105,0.186,0.421,1
"Rpl23",0.000205255534410033,0.794515213249635,0.381,0.137,1
"2210408I21Rik",0.00020754399390117,-0.852072687423871,0.133,0.347,1
"Calm2",0.000238653949656541,0.832271971620355,0.814,0.726,1
"Sncb",0.000241901062114103,0.96102530890888,0.239,0.053,1
"2810403D21Rik",0.000273280235879782,-0.930061477327442,0.044,0.2,1
"Nrp1",0.000286635828861846,0.812531345588522,0.496,0.253,1
"Atp6ap2",0.000299767177054862,0.932095602325101,0.319,0.105,1
"Slc38a2",0.00031014247150136,-0.316857993142437,0.947,1,1
"Irag1",0.000341405094654904,-1.00741254072725,0.115,0.316,1
"Dnajc21",0.000367344411999564,0.895841117903064,0.195,0.032,1
