"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",5.5920520898024e-71,-0.53246307872673,0.998,1,1.9497808021514e-66
"Hsp90ab1",8.84131674207108e-45,-0.843334782663003,0.629,0.812,3.08270190845792e-40
"Tmem267",3.60750357720604e-36,-1.22528206233574,0.007,0.142,1.25782827226443e-31
"Calm2",3.82697930260061e-36,-0.70259958579802,0.661,0.828,1.33435287343775e-31
"Calm1",1.212842128372e-32,-0.587421475191198,0.799,0.91,4.22881664899466e-28
"Nrgn",1.73134181244688e-29,-0.693735592527608,0.653,0.818,6.03666949745854e-25
"Hsp90aa1",1.10240598275256e-28,-0.762647694783235,0.459,0.663,3.84375894006336e-24
"Tmeff2",1.8252221336533e-26,0.426063200111617,0.977,0.957,6.36400201340898e-22
"Egr1",1.86192739809033e-25,-0.921429390026379,0.028,0.154,6.49198225892157e-21
"Magi2",1.49038407927437e-23,0.373122323253334,0.984,0.97,5.19652216920596e-19
"Cryab",2.16269712849665e-23,-0.905211912123831,0.302,0.495,7.54067607792926e-19
"Lrp1b",3.43588317257213e-23,0.409797754164527,0.962,0.928,1.19798938578073e-18
"St18",5.5738364873134e-23,0.414658009478805,0.944,0.886,1.94342956803156e-18
"ENSMUSG00000120522",1.46001453019871e-20,0.678180882326216,0.52,0.329,5.09063266244385e-16
"Fth1",1.6150745855683e-20,-0.543196592276283,0.812,0.902,5.63128055750099e-16
"Auts2",4.34618025025341e-20,0.654134597587744,0.619,0.446,1.51538266785586e-15
"Hspa5",4.88520542445354e-20,-0.824477946383132,0.164,0.331,1.70332457534422e-15
"Stmn1",7.57004120883164e-19,-0.552921967743291,0.567,0.703,2.63944626828333e-14
"Rtn1",9.34088297870061e-19,-0.501444014592026,0.607,0.765,3.25688566818354e-14
"Pde4b",1.18683558766547e-18,0.281005533653484,0.995,0.986,4.13813964351321e-14
"St6galnac3",1.56532492757635e-18,0.532615030097343,0.755,0.604,5.45781842498046e-14
"Hspa8",1.93474287813488e-18,-0.641667164215248,0.458,0.614,6.74586799319289e-14
"Aldoa",5.75403777469806e-18,-0.598524024087551,0.384,0.573,2.00626035090397e-13
"Gapdh",5.32309813146175e-17,-0.532008221744971,0.548,0.705,1.85600462549677e-12
"Mbp",2.40838687411841e-16,0.271017044116135,0.975,0.959,8.39732251398867e-12
"Marchf1",2.80233251079859e-16,0.73784884063406,0.528,0.372,9.77089276540146e-12
